datetime,param,level,latitude,longitude,Analysis,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2026-03-14 00:00:00,UGRD,10 m above ground,32.0,-124.75,4.892371995355205,4.166757474610266,4.229305380523048,4.393892066663402,4.512869796051967,4.626838326450699,6.122651208469369,7.371551163979777,7.386442256044408,5.896301243263258,5.102850060973875,4.701498826417858,4.508227561921248,4.122433934869169,4.303328722946912,4.784761388022659,4.843809279826228,4.021116432004611,3.718287552042965,3.5800716287654977,3.558415226316304,3.4440689412131746,3.939672816403924,4.629316910700939,4.749746887021649,3.565185798488176,3.2452704623122317,3.202134510077399,3.073758260141708,2.807951297249451,2.8508443988001004,3.240264944066202,3.3661007565621928
2026-03-15 00:00:00,UGRD,10 m above ground,32.0,-124.75,7.257340848579256,5.770411309425717,4.970844600001835,4.441906724875986,4.345739530667565,4.010261604357876,4.141020909206416,4.65247298769372,4.646934760419008,3.871072812678772,3.6174306867873804,3.393264347796622,3.3815345819713234,3.297330921027447,3.6210206333606716,4.3978331712435015,4.709898560805632,3.6713700810934897,3.381392804501638,3.3319080886908825,3.2385511212032725,2.9632463785316894,3.028837315748944,3.4376528038372722,3.4953432034928213,2.7824716551899775,2.54323746914136,2.61565436519799,2.5705284479788135,2.4498847856639463,2.160933602438978,2.6939311004277107,3.116025410021616
2026-03-16 00:00:00,UGRD,10 m above ground,32.0,-124.75,4.489089339211019,3.8314337809637657,3.5487019340051074,3.321040336852449,3.293795399003433,3.186080103628025,3.63428397528938,4.431652906482442,4.699773884800782,3.683989569858281,3.418120750999326,3.3808839019186943,3.3768945827357095,3.1945835092903447,3.243659894941567,3.6485009608164116,3.708548992649005,2.9048959234742866,2.6808851780098504,2.715325891373135,2.7147851888555756,2.564001104737192,2.402989511507118,2.8970107034567922,3.113080962353683,2.6665358595429707,2.524569096764803,2.577516558699478,2.608569795354601,2.482802417944574,2.388570341498781,3.255290998674413,3.625559325747108
2026-03-17 00:00:00,UGRD,10 m above ground,32.0,-124.75,4.37758087815408,3.38561134428275,3.224944594163528,3.1626556327634896,3.1147526813377464,2.9257189761728055,2.8729393760838606,3.3839682822140738,3.548929634472027,2.739316605808262,2.5110883287174914,2.588782810152024,2.635239502174547,2.4450349521932866,2.325807935527416,3.0609913780050073,3.319556283387594,2.703888398853395,2.6172309146081534,2.660771249461149,2.7015433554344455,2.610262191528115,2.4332784127023155,3.0882906237554897,3.398649960309213,2.932530188526431,2.633742000692478,2.715945591641086,2.869186293688692,2.7459362562881706,2.8594767301788666,3.9664897474111607,4.771537258875558
2026-03-18 00:00:00,UGRD,10 m above ground,32.0,-124.75,3.375112280077204,2.7308164941593125,2.5641318597377483,2.5848292822026435,2.60685092405979,2.4199520590876813,2.2957094588798563,3.1015833473208128,3.447383299739226,2.7349748338321542,2.648893398264488,2.6971722457428724,2.796956249219011,2.694521466634679,2.5404009540661243,3.207059977024612,3.5317013633806176,3.055543720477558,2.8466240740325954,2.8699680090478084,2.861805109724931,2.66533744995789,2.6320530672334277,3.651977708034125,4.319336734607454,3.7050358329730098,3.507643949808153,3.561525227241827,3.8012932704626214,3.9985550751997194,5.092703403794461,6.860095335343936,7.5658805973794685
2026-03-19 00:00:00,UGRD,10 m above ground,32.0,-124.75,3.5462015607169226,2.803850421830272,2.734995421549738,2.761367366747643,2.7585623342053482,2.661698551929896,2.446829890250606,3.024332655597947,3.356619445143323,2.988207998595695,2.7737536977674555,2.7187747883767353,2.715652541600683,2.574532233338233,2.671249846483019,3.9287427558237553,4.739507155018367,3.8618482655159703,3.683195820356749,3.75564572593029,3.995751291647193,4.1176829435328965,5.232365177591727,6.903131661316049,7.368591001547748,5.84136391464828,5.339538327587395,5.19664009016438,5.099877892329097,4.746906409746179,4.671278134852306,4.799080855841656,4.932155676126568
2026-03-20 00:00:00,UGRD,10 m above ground,32.0,-124.75,3.39073967968747,3.0537306153004526,2.8994286884469846,2.816330819476989,2.809601329798804,2.6826409006706324,2.5390505961373195,3.538896239316559,4.248756853363242,3.569634144480661,3.488862440538096,3.5680503340902447,3.789979738154659,3.872647024369388,4.751032067480539,6.380885883334909,7.117870571797043,5.609006122982331,5.145241131463126,5.044383543793149,4.96234474502075,4.636224774035718,4.663612616417574,4.809865613402776,4.960161526943828,4.554806641074532,4.166747769224221,3.9793560725718007,3.968793959702805,3.774552871194442,4.635651766492092,6.163919708430854,6.427037993680724
2026-03-21 00:00:00,UGRD,10 m above ground,32.0,-124.75,3.7734844823229894,3.203392883440541,3.2174739140714417,3.373232473530396,3.6127772585318487,3.6986687376519973,4.5260161310343605,6.151044895349479,6.829358687816341,5.543257262067501,5.041324807134705,4.847421518447486,4.827339905467147,4.56659232345759,4.5034156424856135,4.726721124081424,5.058082443023466,4.66706176599199,4.236236456749739,4.050870625409161,3.9100039015377805,3.6359200039748374,4.160234960934123,5.177757638925627,5.501061665885297,4.212826004585182,3.7715954820194115,3.471392525323464,3.2640997400245455,3.1443808809248086,4.115953105101702,5.279699705958826,5.582679759082481
2026-03-22 00:00:00,UGRD,10 m above ground,32.0,-124.75,6.523546004123523,5.300212240599135,4.895784083239582,4.693747850605874,4.629816751474271,4.35631581423167,4.223975020464858,4.459584796665024,4.802013118471019,4.280898240588332,4.001689485615858,3.948443053833654,3.906373197842005,5.314928163470725,5.704222098362199,4.173732875928717,3.707216108639064,3.393133082674385,3.1081534799230326,2.882424719281194,3.817398917021964,5.0682973655312775,5.4208825654444315,4.024036102889241,3.7176809071176615,3.6928333804794358,3.6611199955727205,3.637300246868932,4.67419401722775,6.423669024741937,7.323897395738994,4.572219501979552,4.1836863711453445
2026-03-23 00:00:00,UGRD,10 m above ground,32.0,-124.75,3.916658992243943,3.854503422982722,3.7436249204725147,3.5037661286238357,4.084288525552678,5.194248711479187,5.662024096643302,4.113261769395038,3.6564814420548504,3.1604580527676402,2.8189313400482265,3.5266762138546355,4.753304219461556,5.165814303135239,3.8454353361966858,3.418330710290668,3.345050144870116,3.3660559844296816,3.412198124787582,4.517891825193151,6.343516995954905,7.428120093058907,6.2220743525182325,5.775461161520214,5.661983717133285,5.599251832412717,5.297156630808323,5.506667775058462,5.990328165368507,6.101451531330545,5.519192843652059,3.931829632534746,3.4556046855280487
