datetime,param,level,latitude,longitude,0-3 hr avg,0-6 hr avg,6-9 hr avg,6-12 hr avg,12-15 hr avg,12-18 hr avg,18-21 hr avg,18-24 hr avg,24-27 hr avg,24-30 hr avg,30-33 hr avg,30-36 hr avg,36-39 hr avg,36-42 hr avg,42-45 hr avg,42-48 hr avg,48-51 hr avg,48-54 hr avg,54-57 hr avg,54-60 hr avg,60-63 hr avg,60-66 hr avg,66-69 hr avg,66-72 hr avg,72-75 hr avg,72-78 hr avg,78-81 hr avg,78-84 hr avg,84-87 hr avg,84-90 hr avg,90-93 hr avg,90-96 hr avg
2026-03-14 00:00:00,DSWRF,surface,32.0,-124.75,85.69891541067312,42.84979704529573,0.0,0.0,11.237133027440086,192.2978466337727,746.1772196700333,677.0419477365772,108.55840850845973,54.27929070479255,0.0,0.0,14.642876462426226,220.07332452694612,798.7794802466227,711.9948781114914,111.5427778657075,55.77126732911057,0.0,0.0,14.588533182660935,214.89325892075595,787.371327101235,702.4446250737996,110.59784953833942,55.29894245275899,0.0,0.0,17.170214387647675,227.87126534060303,811.6064087696489,725.5487810328113
2026-03-15 00:00:00,DSWRF,surface,32.0,-124.75,110.22904795374573,55.114477300868614,0.0,0.0,14.65851123493757,220.8637003150746,797.8145504631123,709.2728880978,110.78185717741606,55.3908014692295,0.0,0.0,15.073137668572345,218.74966204376767,794.899715194691,709.9080208686221,114.43777238403021,57.21896326780217,0.0,0.0,17.483264185747878,231.57206603458113,820.4526270797675,733.5545156262186,120.35110167602554,60.17564394838501,0.0,0.0,19.296395915129963,237.40670415832193,827.8111260224921,739.1672915761719
2026-03-16 00:00:00,DSWRF,surface,32.0,-124.75,110.35591891374821,55.17801338280806,0.0,0.0,15.179545389599085,216.50766302391526,791.0710301307564,707.5955524041774,114.48838875183256,57.24407225803323,0.0,0.0,17.360191643869733,231.1962614768486,818.5292310370729,730.6841460676153,119.41962414688976,59.70975577223443,0.0,0.0,19.29284088153628,237.71248994288223,828.530354394381,739.9598661963917,123.32484467003282,61.6621955477177,0.0,0.0,20.976328528940673,243.26296044862067,834.7584652542412,743.5033205690745
2026-03-17 00:00:00,DSWRF,surface,32.0,-124.75,115.74744403063508,57.873758935206936,0.0,0.0,17.763190917077164,232.31478411599983,817.36197628213,730.8000644941126,120.58080125694303,60.29032773547753,0.0,0.0,19.50878804181813,238.74184786049852,831.2425181083531,743.0801765200805,124.52918790833186,62.26459106145482,0.0,0.0,20.925232495626144,243.11846018614796,836.8788225091547,748.4543006223685,126.8645654311114,63.43242175087349,0.0,0.0,22.14668761678599,245.15590450729727,836.2830351819209,745.2861624742543
2026-03-18 00:00:00,DSWRF,surface,32.0,-124.75,120.86313786408871,60.43160113252255,0.0,0.0,19.60483412131753,239.0486147157145,830.9990090486835,742.5783043430847,124.33725289146858,62.168618801069265,0.0,0.0,20.913969875264158,242.61165852868712,834.6858057285204,745.5513198274343,125.28335326862207,62.64146834535893,0.0,0.0,22.105879652376018,244.58415433773695,834.4396152966892,742.7475625590214,121.4340129720114,60.71674016971534,0.0,0.0,20.246680327247596,215.55629516332002,756.4305182621806,667.3571071198711
2026-03-19 00:00:00,DSWRF,surface,32.0,-124.75,124.55679876797697,62.278310986341246,0.0,0.0,20.98313642182187,243.37314933845735,837.6528803566705,749.087762277178,126.66418316364238,63.332386080278624,0.0,0.0,22.20849300390619,245.19158588087186,834.8219403370601,743.4681440043901,121.40853062886815,60.70421775431697,0.0,0.0,20.923896380493545,220.44178158993273,769.6574601741944,677.7918291500184,107.18033210275526,53.59021079664685,0.0,0.0,20.79357240013708,235.48744016585837,816.7559598181031,730.2555942680258
2026-03-20 00:00:00,DSWRF,surface,32.0,-124.75,126.80785311715559,63.40390014186384,0.0,0.0,22.23946708420557,244.93429624181476,836.2819511756518,745.6867007135033,124.20052906184081,62.10026444712679,0.0,0.0,20.783444548109017,218.77290976234252,757.9153704567246,665.4819419330793,103.44758400491148,51.72391178890359,0.0,0.0,22.016430742384692,237.97285338866914,816.0224862927377,723.3225939653611,117.95623672744355,58.978008858669696,0.0,0.0,22.610904198176307,234.09795835440138,809.3080024943656,722.1856828981821
2026-03-21 00:00:00,DSWRF,surface,32.0,-124.75,124.74344848803906,62.3718140995304,0.0,0.0,20.347692604707543,220.6480797639742,781.1951982047084,689.9909747614431,108.88190912783719,54.44094405673464,0.0,0.0,20.415879830048613,228.52599231495012,804.7446224144433,717.2249324785993,120.60072351428667,60.30055913765944,0.0,0.0,22.202587795489226,230.45582974332092,801.8797380506187,714.7848582328029,121.03634063829479,60.518117546989316,0.0,0.0,25.704228581499923,249.05440871976498,832.7356576655701,739.2882741809782
2026-03-22 00:00:00,DSWRF,surface,32.0,-124.75,108.70843130183087,54.35407373142726,0.0,0.0,20.588997183987182,228.1518211013821,788.361808833575,695.2936872120858,113.39345571150253,56.69681518600062,0.0,0.0,802.2631041128791,721.6620106063843,127.3599746587125,63.68007140756081,0.0,0.0,26.087564683123194,244.96968602867815,826.5257099692344,740.2021350053571,129.55762296192907,64.77877031510047,0.0,0.0,28.16786021470257,251.35084914232567,834.7318485062606,748.9715569808334,116.40493892007046,58.202528544744155
2026-03-23 00:00:00,DSWRF,surface,32.0,-124.75,0.0,0.0,22.24654391128661,229.9854297731116,803.9941486557568,723.2992754363104,126.87915541073608,63.43930579004496,0.0,26.230266155033913,253.31918083417517,845.2038819234153,754.5331059245452,131.97507554636158,65.98739131183565,0.0,0.0,28.204066404470336,252.6857016129974,837.2078758379735,746.7551648507513,127.10186558110799,63.551028867124685,0.0,0.0,29.447595357773224,254.3859325748341,838.0426723185838,741.1584804030488,125.9508211057423,62.97536760346485,0.0
