datetime,param,level,latitude,longitude,Analysis,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2024-12-01 00:00:00,DPT,2 m above ground,32.0,-124.75,270.6558744031149,269.9154288916927,269.33678583737606,268.9119237558657,268.70945748297544,268.59317642782304,269.3159514021429,269.68473236043303,270.89836918590584,270.22402597612074,269.89436611712654,269.788967252136,269.7379433855434,269.50804518605514,270.24961374190764,270.74630137582517,271.93370311269945,271.19317106185883,270.8796315617222,270.7405261681728,270.6514372652789,270.6589989162207,271.37009905934065,271.95031924952764,273.05459575217606,272.4300057838418,272.1862010834478,272.01587638564564,271.9486152059901,271.67873084717166,272.28987798472986,272.8351693392929,273.86911622559165
2024-12-02 00:00:00,DPT,2 m above ground,32.0,-124.75,271.47449397081994,270.81698911496017,270.43658562569436,270.3340856721664,270.2899602704164,270.0941101526419,270.7987353929176,271.228912617781,272.39911907549185,271.67320492364036,271.35093445488803,271.21166091567886,271.1298655601388,271.0860592568952,271.8412945019643,272.3768499694115,273.42904635325795,272.7988667899348,272.5618925980001,272.3470000993698,272.28853139357966,272.1017201166003,272.743193860201,273.26541773257503,274.2264877178789,273.70833929856224,273.4917215421502,273.3858317798338,273.2999507705856,273.0574101477431,273.5103714444276,273.7782375181622,274.5286175802026
2024-12-03 00:00:00,DPT,2 m above ground,32.0,-124.75,272.695636451667,271.95796229958944,271.65987019882573,271.50757124628115,271.39928921552416,271.3728275556647,272.2106991787141,272.77433942216237,273.8569090404136,273.2467849475745,272.99261504358606,272.7816882201089,272.6811453103884,272.54053718718643,273.1706151776168,273.65471423914477,274.55963851220855,274.01067480971784,273.8063053469659,273.6519569648227,273.5951878205209,273.3570345993015,273.84747164611707,274.17513213778625,274.9373070791207,274.51957327263244,274.25494522066685,273.98421478351014,273.7182243557571,273.3184507784125,273.68319536281103,273.57647722415686,274.30752720935095
2024-12-04 00:00:00,DPT,2 m above ground,32.0,-124.75,273.88149405294615,273.2766056654975,272.88108100369436,272.64121282127786,272.61680310854956,272.3801480228734,273.09833013565776,273.6239258012969,274.57699769329014,274.0560520111338,273.7212801365563,273.5709213019385,273.4805852148404,273.23443782658114,273.73372491480086,273.9702254931617,274.8050989201182,274.30260367913377,274.0070693355539,273.7049685682231,273.4235302835348,273.03926021475706,273.4299491905655,273.51105206887013,274.2950842380311,273.67311202431813,273.1714754863916,272.74383337835786,272.47095865413877,272.2175402914987,272.7668030151883,273.11379012548315,274.07476938609375
2024-12-05 00:00:00,DPT,2 m above ground,32.0,-124.75,274.651154271629,274.0228476220541,273.77983087037853,273.697884626641,273.65837826697475,273.42808863336904,273.87951222159813,274.0556719883306,274.8892164378205,274.4453163169689,274.1098578012538,273.82060770620933,273.5537308534512,273.18060866338567,273.607324868721,273.74743418400107,274.55970598887825,274.0519031329907,273.5955990696247,273.21239345880394,272.86823518265123,272.48693711269215,272.90265354135676,273.09218111971705,274.0103809722575,273.8216461117554,273.5952682311607,273.40409554175767,273.15946196894424,272.6755146465898,272.9071188511665,272.3068220205813,272.9660703554987
2024-12-06 00:00:00,DPT,2 m above ground,32.0,-124.75,275.1732917928404,274.52235409499235,274.1581964487961,273.8869932411333,273.60505018302484,273.309795798977,273.80041251179233,273.97031316300195,274.6568951973791,273.88427798861835,273.40750126218865,273.00740118562067,272.63429446103555,272.2371246063581,272.71516904933367,272.93434481998304,273.95666410866306,273.81198386295637,273.60206528746625,273.41146666993814,273.2700596499013,272.7775139010953,273.0852346827713,272.52061472416085,273.17734183856595,272.8367124229397,272.498855777482,272.1709846130984,271.9122595594232,271.43289787135916,270.9661552484205,269.65464642517486,269.5850176598217
2024-12-07 00:00:00,DPT,2 m above ground,32.0,-124.75,274.76607999102566,274.0660599758919,273.5153572116883,273.04484153943605,272.6244158286196,272.2879621585565,272.817236700137,273.16619969889257,274.09500673909093,273.8696034059245,273.67034560654395,273.57063258840793,273.2814847534524,272.89294533788996,273.10803385077395,272.43384499316323,273.1405142451234,272.74672512378686,272.2895458210265,272.0350307285221,271.7559299424712,271.18664806964296,270.96975170635994,270.1262408148251,270.54509346008416,269.47231749084443,268.50918147419225,267.5423310818267,266.6269473206439,265.8047095794101,265.4568637049629,265.0491533486038,266.3442533203885
2024-12-08 00:00:00,DPT,2 m above ground,32.0,-124.75,274.50796797553915,274.3173210722263,274.016738262432,273.87919041268754,273.6896343050578,273.1583921777898,273.4357193845136,272.77575104194773,273.3810663164913,272.885691315812,272.45710805083843,272.1366132186591,271.80462417962406,271.30017895427204,270.92357996845715,269.70457317142984,269.91156587867044,268.7251118200651,267.5921231278131,266.5949112351451,265.6784481551528,264.95288607253195,265.01765147989147,265.0853493350254,266.66907367584156,265.7489628609179,265.01867252752106,264.5236218063769,264.1889100729824,263.7347284346868,264.4635628391871,265.56663212030037,267.5484817561997
2024-12-09 00:00:00,DPT,2 m above ground,32.0,-124.75,272.9809326237536,272.38149754569235,271.94726340026773,271.56764558009206,271.26176635558306,270.77783192366866,270.499060119128,269.24237429505087,269.48659357298857,268.52722637799786,267.7058878042533,266.8205334205236,266.2515781929094,265.77259638091726,265.88942275413945,265.798705378902,267.14786743699733,266.24037378095835,265.7037559709687,265.2111576561921,264.8366322427539,264.59961210930663,265.43741497867813,266.0947796477991,267.9078451363624,267.71328864683653,267.79601773086745,268.17092305332875,268.90208514589847,269.7255208973162,271.2842777316272,273.14103020526926,274.1705840639277
2024-12-10 00:00:00,DPT,2 m above ground,32.0,-124.75,269.2142740977091,268.39416176713326,267.5237652800115,266.599221607303,266.092474769051,265.7120995077352,265.9718489213174,265.88223240841455,267.2039155139929,266.35094868478257,265.8352710566319,265.3914916095064,265.00160075349885,264.8000468604587,265.36103521247355,265.8197410826711,267.6345524073663,267.2817039002599,267.670125186305,268.5695060770049,269.3975551781074,269.6989221256631,270.6575826609972,271.7752690831345,272.84602739660653,272.9424072921749,273.2333160218963,273.114489563859,272.8790000213853,272.71955539853025,273.2417448453613,273.3389181107191,273.91962513390354
