datetime,param,level,latitude,longitude,0-3 hr acc,0-6 hr acc,6-9 hr acc,6-12 hr acc,12-15 hr acc,12-18 hr acc,18-21 hr acc,18-24 hr acc,24-27 hr acc,24-30 hr acc,30-33 hr acc,30-36 hr acc,36-39 hr acc,36-42 hr acc,42-45 hr acc,42-48 hr acc,48-51 hr acc,48-54 hr acc,54-57 hr acc,54-60 hr acc,60-63 hr acc,60-66 hr acc,66-69 hr acc,66-72 hr acc,72-75 hr acc,72-78 hr acc,78-81 hr acc,78-84 hr acc,84-87 hr acc,84-90 hr acc,90-93 hr acc,90-96 hr acc
2026-03-25 00:00:00,APCP,surface,32.0,-124.75,0.029827316003087266,0.0034192314460891452,0.005384372992323997,0.0006548389858659373,0.0022977300315119684,0.004812410009314448,0.009470092026100415,0.00019256298080053084,0.00025452519261634596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666763200962238,0.0017978973673912126,0.0019291830153973354,0.0,9.6269683925892e-05,0.0,0.0,0.0,0.00041845552327806344,0.005005361344103219,0.009627478413032013,0.0016339310841349214
2026-03-26 00:00:00,APCP,surface,32.0,-124.75,0.0017396964475815382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039850914774892666,0.0007599096934193532,0.0010822732703008988,0.0009246987683083469,0.0011781803533266338,0.0,0.0,0.0,3.205146254693157e-05,0.0001310289919317017,0.00020153923422944631,7.041285965142112e-05,0.00010547254735029376,0.00024066337607385168,0.0008935848162950511,0.00013300322767361436,0.0012898075570404147,0.0,0.0,0.0
2026-03-27 00:00:00,APCP,surface,32.0,-124.75,0.0,0.0,0.0,0.0,0.0,0.0002998501946946063,0.0002998501946946063,0.0,9.650209211807409e-05,3.205146254693157e-05,9.449813869101184e-05,0.0,6.33996742366338e-05,3.27377122440834e-05,0.0004578766084875149,0.0,0.0,0.00014043485240284288,0.00014043485240284288,0.0003508910293997548,0.000557349159173129,0.001131114718974494,0.0013022680998852018,0.00018901535164500235,0.00018901535164500235,0.0,0.002268723561898154,0.0064553752139682365,0.04207380029789609,0.0002722416965623815,0.000653508997483327,6.922032507506758e-05
2026-03-28 00:00:00,APCP,surface,32.0,-124.75,6.922032507506758e-05,0.00016244238377057164,0.00016244238377057164,9.644643025372347e-05,0.005138849901370896,0.0031897786462784187,0.0032892168823237568,0.0,0.0,0.0,0.0,0.0,3.205146254693157e-05,0.0,0.0,0.0,6.196279558686595e-05,0.0,0.0,0.0013914781777212917,0.006050157902478537,0.004776793898202328,0.006684780433058425,0.000468070083840772,0.009910532122954912,0.08540589020191491,0.29526367811761695,0.2731776840130726,0.4961444944083123,0.0018610524626280884,0.0018941249739019609,0.0
2026-03-29 00:00:00,APCP,surface,32.0,-124.75,0.0,0.0,0.0,0.0,0.0004015544373903913,0.00023182797177135258,0.00023182797177135258,0.0,0.00012343820314413258,0.00018515730471619886,0.00375195101092283,0.014053008589284547,0.028616200758288624,0.06916184641281248,0.09472003677638662,0.317481736870479,0.3029383118328375,0.5666348121380456,0.2775077219581794,0.5642045475115235,0.17630820171231948,0.3120621803871983,0.20880262825025162,0.43501235653404646,0.24226711235909948,0.4814073153221521,0.28310091853080366,0.6337858275576603,0.0002618387851122897,0.0002618387851122897,0.0,0.0
2026-03-30 00:00:00,APCP,surface,32.0,-124.75,0.0,0.009780434708561212,0.028251338467569324,0.04930978060638432,0.010087583781303523,0.029843504949412222,0.06839434531598736,0.1727811477828151,0.12408535839650074,0.2922904132733189,0.28987299432734553,0.43000790362707175,0.7853762099341574,0.27629840734215644,0.5203166517176878,0.29073620904617675,0.7331798314336251,0.5105370293041349,1.025651954467074,0.3776107973938674,0.7578911803749463,0.4118304193381288,0.7805888573653863,0.2912977911325679,0.4448642117975282,0.07846256207357981,0.120149120549422,0.010673158841114022,0.023048793720399193,0.01579594521904868,0.06999671240785103,0.14595332031420288
2026-03-31 00:00:00,APCP,surface,32.0,-124.75,0.39829512669434103,0.39297735002003004,0.9541295393201007,1.1704250791423678,0.4425227747382566,0.8080279286704599,0.29764551493191777,0.7875343812131174,0.6510892612935544,1.244375704783945,0.425204093528876,0.8893343128607618,0.4251455383429742,0.7898018304770247,0.22484597650168284,0.3180713217289349,0.07265202377124942,0.1219301241974919,0.02099309808046439,0.02507130895594041,0.0007352447712378047,0.0013995846709447563,0.000246298266653136,0.00028155338780200826,0.0,0.0,0.6407248639435627,1.2327756389327502,0.6836993606125918,1.2498697031547152,0.32410767459427525,0.7515256541327303
2026-04-01 00:00:00,APCP,surface,32.0,-124.75,0.6330936280376183,1.233591753269659,0.40540972974612277,0.36275927333237157,0.6735982731692599,0.1826166233769371,0.2802446203694956,0.06350641848595526,0.10128023174873552,0.015592213948109914,0.01678267969693396,0.00041672669122122817,0.000544828039333025,3.0859550786033146e-05,3.0859550786033146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2397342095833684e-05,0.00016423664106292839,0.47341348316923015,0.9405906293534326,0.40247341673527665,0.7705180207382106,0.2455836990238704,0.34639987989010135,0.04450436341237187
2026-04-02 00:00:00,APCP,surface,32.0,-124.75,0.07590867000890435,0.020369060531078155,0.022587558783109248,0.0003081855577156897,0.0005560355725210518,3.0859550786033146e-05,6.184094857946612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010081020667294237,0.01190623858364774,0.0004915166501878612,0.0006322443186870273,0.0,0.0,0.0,0.0
2026-04-03 00:00:00,APCP,surface,32.0,-124.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.098139779343297e-05,0.0,0.0,0.0,0.0,0.00035169822950213096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04 00:00:00,APCP,surface,32.0,-124.75,0.0,0.0,0.001010782880566732,0.0003362861983108366,0.0011125040149388401,0.0009188475893204802,0.0016645180226288834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002128830520946693,0.0005268044419536586,0.0,0.0,0.0003399424466759639,0.0009886016644486083,0.0003417783702460644,0.0003417783702460644,0.0
2026-04-05 00:00:00,APCP,surface,32.0,-124.75,0.0,0.0010693263579616358,0.002337937754766966,0.01479956113819457,9.787461453501068e-05,9.787461453501068e-05,0.0,0.0,0.0,0.0,6.171910157206629e-05,0.0004330055657853685,0.002568644776695938,0.0004653261155411379,0.0004653261155411379,0.0026319341437961302,0.0004096768788134486,0.0004096768788134486,0.0,0.0,0.0,3.3401678364183465e-05,0.0008653306122387386,0.007589605611879326,0.017315647457038126,0.04643863643839204,0.018935753741954633,0.043993759473079694,0.08341456028488878,0.1055150944395097,0.3060062200421577,0.0005043476938392973
2026-04-07 00:00:00,APCP,surface,32.0,-124.75,0.0005352072446253303,0.0,0.0,0.0,0.0,3.205146254693157e-05,0.00023256999317222446,0.0001003134955327425,0.0001003134955327425,0.0,0.000732509514042111,0.0005650157902879392,0.0018602808148803864,0.016782138414652138,0.08461815657862354,0.16341009522698424,0.29102151782071994,0.04375583810217536,0.07159414906095078,0.03669725083671856,0.09121106655376168,0.14397289285905757,0.371523178422424,0.2731910654208639,0.4564479519875307,0.11815383212100943,0.2720286730007624,0.15656664844882803,0.3845409736279808,0.33042204356136484,0.7480812755823805,0.0007961341901294881
2026-04-08 00:00:00,APCP,surface,32.0,-124.75,0.0011405394727048198,0.0008039111135276038,0.0027276959850309674,0.005138558973647407,0.01033782678868673,0.028633867807109272,0.10791870412163489,0.1707144126513165,0.29682108139022173,0.06548235076295475,0.13970440602790643,0.09661138031186074,0.20314741675656856,0.21497379142761935,0.5563494268490559,0.334822652734682,0.5164304328834984,0.11402278708377436,0.29121768008229143,0.1881988130642504,0.47375351014690215,0.41481856339666445,0.9643850085992137,0.7081943228922951,1.2104572162605076,0.28494942694806114,0.5785806761548862,0.4190697998954165,1.1787009208093593,0.967284977083462,2.0103823239564678,0.20631937665535924
2026-04-09 00:00:00,APCP,surface,32.0,-124.75,0.3366749429373206,0.03870127227509741,0.09134486918374385,0.07094732814965518,0.20176404633885775,0.22588893455648648,0.5416741343149375,0.4163648831874277,0.689991627309345,0.16652664665966393,0.3937535065276979,0.2578280610497186,0.5754150674914518,0.4843594540337002,1.1754937803564864,0.6848524498656025,1.0301644394311416,0.26731907221396883,0.6407847469214828,0.5724506753877399,1.3172512536301024,0.9825491216101434,2.1041226245137805,1.170581762052907,2.3105641439015177,1.0792388100428911,1.927235575139286,0.6814782544156301,1.2547952069620123,0.45994943926624643,0.8469368633965908,0.35093131757207463
2026-04-10 00:00:00,APCP,surface,32.0,-124.75,0.5500013530167299,0.15678130550352157,0.4006758083915203,0.2964437982098969,0.6613505269801265,0.5393491924404603,1.2556025710093721,0.6801158400749044,1.067345798398398,0.272101622793817,0.5274354598625043,0.3418281812795599,0.7814023683795654,0.4938911516238071,1.3681867919674495,1.1919711501742023,2.2887167987192543,1.2308272446272839,2.3949015991823575,0.8570940521740155,1.5666294217628762,0.5518864079092963,0.993231453164238,0.2857782113461098,0.4755321769945733,0.16989117124147385,0.306379915512533,0.07843705410500476,0.15007065346044857,0.08641171092956847,0.17288140661273402,0.6595149712150414
2026-04-11 00:00:00,APCP,surface,32.0,-124.75,1.146850326056041,0.3315810703439518,0.6063337792388834,0.31789364195026326,0.7152833335076583,0.5639599952816314,1.6289604690458515,1.263939407372538,2.543337084472588,1.1476688337832552,2.1372217483268066,0.8391891952467314,1.5633862644508256,0.5886637417409095,1.123746397626577,0.332559695165041,0.5731287616491387,0.1475997387325135,0.25875739653908114,0.08825797826748405,0.1760371867449902,0.09152847236604736,0.1817127625789811,0.06694954946155733,0.08750083505086738,0.010177052492544695,0.020530323115279855,0.014943619523179661,0.03301004682659109,0.007087990753226002,0.012310266548714418,1.2042579123447241
2026-04-12 00:00:00,APCP,surface,32.0,-124.75,2.3335000646383848,1.065753846567992,2.0173195674011226,0.7809851489859302,1.4226073383164053,0.59245445103245,1.1630308851325206,0.44020602406615233,0.6789520735022184,0.14555908423144376,0.2678288542431255,0.11651264230970274,0.21978405802526435,0.1239309709798176,0.27691700536835456,0.10058584670082096,0.17873157618238084,0.05917747677302098,0.09471418204260076,0.01843952311552264,0.03175864988711833,0.005172791410499519,0.010714208939451377,0.002888703372500398,0.0047856931598868075,0.00987928204532836,0.03719432576315919,0.06443352242754466,0.1767130634812835,0.15097952252577737,0.34104738623807956,0.3659027554375124
2026-04-13 00:00:00,APCP,surface,32.0,-124.75,0.5735474159109413,0.13170674495632223,0.2329390069841793,0.08237240649034862,0.16242849377308755,0.13904219078060287,0.3044874410774571,0.09364756106972585,0.15182551575670283,0.06700219570711054,0.11542440110301985,0.014954403872550643,0.027076786281156912,0.006392797528838274,0.013053861226573375,0.005572907781709902,0.025466830788956528,0.020772646495664966,0.06504360583154044,0.10571914748355624,0.2712550596092114,0.16779704048458205,0.2956846861575167,0.15941081152533113,0.3822933778064406,0.26641835172557815,0.5149772794959682,0.14917251098059112,0.22626545262249922,0.08590229726906604,0.17688803159624036,0.1454172833914339
2026-04-14 00:00:00,APCP,surface,32.0,-124.75,0.2361235481062429,0.04679876230313732,0.06445480835502632,0.012867719685008362,0.02286088914853079,0.003522093154723996,0.005923005238455371,0.0011888547714611897,0.00567415538202321,0.010809963194312126,0.024963159443763,0.048951867711493346,0.13285252647774468,0.09750489098663372,0.16947738361465442,0.07534700026037568,0.1872464853828546,0.18433346383022756,0.4133642762303611,0.1652991206853693,0.25869566271094313,0.06628846096868739,0.12236455221837961,0.041539906061957566,0.06603746161591703,0.004629695221088966,0.005654845043192206,0.0013728587792988397,0.002141568422211925,0.0003716531752006434,0.0005575409781901903,0.0024431745839150467
2026-04-15 00:00:00,APCP,surface,32.0,-124.75,0.007576570729718717,0.012790786328900648,0.03473796516229371,0.06958210195250172,0.19371126709887962,0.11745556075943069,0.19352641247436417,0.06530827029938648,0.14157818242208906,0.09346314699581645,0.22539570791797775,0.10136106617006303,0.1506736079958392,0.026984680498405664,0.04809482606134719,0.02589172315827741,0.05317754691499721,0.006632933830093474,0.007176025971412232,6.611467193490546e-05,6.611467193490546e-05,0.0,0.0,3.318286238573295e-05,3.318286238573295e-05,0.0,0.0,0.0,0.0,0.0,0.0003595506310228515,0.06352826678802137
2026-04-16 00:00:00,APCP,surface,32.0,-124.75,0.1191297079279557,0.051143621550666235,0.11649930149351165,0.06927070472535364,0.11895805284317049,0.02723579967547144,0.0448180680009497,0.02194462817855942,0.04322226566255107,0.0039605595339518174,0.004939572577713167,0.0005618301247249447,0.0005970852458738171,0.0,3.318286238573295e-05,6.63657247714659e-05,6.63657247714659e-05,0.0,0.0,0.0,0.0,0.0,9.810029599983703e-05,0.0012846228855347744,0.004427879727280179,0.010758606572789285,0.02228716691168685,0.01684476363644948,0.09141153187183118,0.05887914794828194,0.09290845638406897,0.005949937042235882
2026-04-17 00:00:00,APCP,surface,32.0,-124.75,0.020680793571048427,0.0023157828636760913,0.0035412671783464117,0.0007707115055449301,0.0010863400881757457,0.0,0.00026513184575028187,9.910530761555854e-05,9.910530761555854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005469483319786041,0.0026149299752892706,0.004143167188172509,0.025484643642779383,0.03005340380845973,0.11577884922660857,0.1509583853645693,0.4436090119896313,0.3311837370316906,0.7021430399289305,0.0
2026-04-18 00:00:00,APCP,surface,32.0,-124.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005814190870356553,0.002985176181089734,0.009351455591549318,0.03178103685043587,0.19835660317062032,0.34664689525660086,0.9213337022321963,0.5886028512715317,0.9507039795300761,0.40897169740480366,0.930762242951253,0.6936983912437833,1.4836823821694938,0.9435574331486436,2.0106063248186437,1.0266288385135791,1.765325673399893,0.002327046103207964
2026-04-19 00:00:00,APCP,surface,32.0,-124.75,0.0023913808312866804,0.0,0.0,0.0,0.0,0.00012796435235699482,0.00520876470762438,0.036377957061235436,0.08450703145497862,0.11500826257527785,0.3899645782633244,0.41079031018378964,0.8046260969008244,0.38802462549969163,0.7452316737187767,0.41309890263837495,0.9855768882457657,0.7528944796960888,1.6013076356522329,0.8099914252053724,1.6667687650140979,1.0565254799412864,2.197396949781742,0.9381991969917863,1.6090390606013132,0.4849095289139447,0.8950484808212753,0.22482113550821872,0.38666837160615325,0.11244651121629723,0.2000936658335264,0.028992083506706283
2026-04-20 00:00:00,APCP,surface,32.0,-124.75,0.06467052972097134,0.1264149640523624,0.5000727820018593,0.40943206362377377,0.7769924283394595,0.3277932425448775,0.8227259210667515,0.6016584074365232,1.2163132306878592,0.5828140537355854,1.4113211997977455,0.8610461736321438,1.781511335081642,1.05267014029064,2.1877914394235,0.9339885012477197,1.6487169345292743,0.603524254872918,0.9977072907354286,0.2268846003170033,0.3637484394483497,0.11424445451530094,0.22909867730897054,0.09265742189188757,0.14013344835217242,0.03687243006930931,0.0670032107055508,0.013211702384004775,0.025413772455613316,0.005247506477985055,0.010067681625413716,0.6327882825682044
